,Id,Name,Gender,email,wallet_amount,role,address,referral_token,password,phone
0,1,Mary,F,Mary@gmail.com,709,seller,"6007 Applegate Lane, Louisville, KY, 40219",e39e74fb4e80ba656f773669ed50315a,585aa0e2160d6a41e3377ce8978d25f2,9930159648
1,2,Anna,F,Anna@gmail.com,885,seller,"560 Penstock Drive, Grass Valley, CA, 95945",97a9d330e236c8d067f01da1894a5438,cfce12235d1b8fc6c9c40c698c6b5276,6811983919
2,3,Emma,F,Emma@gmail.com,209,seller,"150 Carter Street, Manchester, CT, 06040",4535367f2f39b5a2ebaee0092f184a79,e1939a20d4c6a2a6a7a1eaa8e17b40f7,8360749520
3,4,Elizabeth,F,Elizabeth@gmail.com,447,seller,"2721 Lindsay Avenue, Louisville, KY, 40206",1c2a5683ab5826555c175462eaa5e59a,03041d35c4a08a5876b56233ca3d7cad,7098454042
4,5,Minnie,F,Minnie@gmail.com,726,seller,"18 Densmore Drive, Essex, VT, 05452",c1f1782a3d769c40484c849b8754c705,ad32ce3318b742063ac968431c5333f8,9915195030
5,6,Margaret,F,Margaret@gmail.com,279,seller,"637 Britannia Drive, Vallejo, CA, 94591",0513a3da7ff53b1aeb42245ebcc5a16e,322854c984ca679cefe12c941e008e32,7216917808
6,7,Ida,F,Ida@gmail.com,883,seller,"5601 West Crocus Drive, Glendale, AZ, 85306",01ce2080527793d4acc286b7bd3b4e61,e9c1e34646415e244ce3c5040e993ae5,9571995013
7,8,Alice,F,Alice@gmail.com,823,seller,"5403 Illinois Avenue, Nashville, TN, 37209",64489c85dc2fe0787b85cd87214b3810,a844f74f913184324fdc7c2f485ee492,9345078080
8,9,Bertha,F,Bertha@gmail.com,546,seller,"8821 West Myrtle Avenue, Glendale, AZ, 85305",a5e7159d79f5e5ffea6a721006fc40e8,cda925d9d3e7bd50963574797256b3d4,8114948445
9,10,Sarah,F,Sarah@gmail.com,341,seller,"2203 7th Street Road, Louisville, KY, 40208",28e5481a80aa2bd18c8cf35d0495980a,21d7a40b4e7ab3525c56db4282b8e37e,7630895716
10,11,Annie,F,Annie@gmail.com,448,seller,"6463 Vrain Street, Arvada, CO, 80003",0a420beb77b963b9a14066f08b7865e8,c3b515e534139790c9dce7c14a913def,9427092826
11,12,Clara,F,Clara@gmail.com,807,seller,"87 Horseshoe Drive, West Windsor, VT, 05037",0afca49306b28c1650a1d4130a6a0ce1,2113b9d7af36203b1438b845c41cc0f9,8967144506
